"from"	"to"	"weight"
"Cre10.g431450"	"Cre11.g467669"	0.0335379110486135
"Cre06.g254650"	"Cre12.g559554"	0.0334188581512672
"Cre04.g228400"	"Cre10.g428678"	0.0334013669200047
"Cre05.g243000"	"Cre16.g653850"	0.0333569490599801
"Cre16.g673250"	"Cre14.g620600"	0.0333263953840301
"Cre08.g361400"	"Cre05.g234150"	0.0332017524978971
"Cre16.g675700"	"Cre02.g115950"	0.0331784295512175
"Cre03.g189850"	"Cre08.g361050"	0.0331374049642323
"Cre05.g238250"	"Cre11.g467669"	0.0331336144689578
"Cre02.g110550"	"Cre17.g735400"	0.0329918571561404
"Cre10.g441300"	"Cre02.g078316"	0.032979585924834
"Cre05.g238250"	"Cre06.g279950"	0.0329431066157088
"Cre08.g361400"	"Cre16.g695450"	0.0328886768610056
"Cre16.g674890"	"Cre09.g403300"	0.0328521681237023
"Cre08.g378450"	"Cre16.g685950"	0.0327819991874627
"Cre17.g729750"	"Cre12.g504000"	0.0327732407798086
"Cre08.g361400"	"Cre13.g565290"	0.0327417103211987
"Cre01.g051174"	"Cre09.g401812"	0.032567084690858
"Cre01.g009575"	"Cre12.g545100"	0.0324869557763165
"Cre02.g145550"	"Cre06.g280050"	0.0324824316634799
"Cre12.g521150"	"Cre16.g686641"	0.0324815808942951
"Cre03.g200431"	"Cre04.g225750"	0.0324382332791013
"Cre02.g101500"	"Cre10.g422800"	0.0324151035383279
"Cre14.g632176"	"Cre08.g376150"	0.0323895341494938
"Cre12.g521150"	"Cre06.g278182"	0.0323684631987812
"Cre07.g340450"	"Cre14.g620600"	0.0323406061084645
"Cre08.g361400"	"Cre16.g684150"	0.032334860056327
"Cre02.g118250"	"Cre01.g041450"	0.032266130282666
"Cre03.g212641"	"Cre04.g214850"	0.0322150790142284
"Cre10.g436800"	"Cre04.g227550"	0.0321365746556337
"Cre16.g674890"	"Cre12.g541050"	0.0320896411352461
"Cre09.g413050"	"Cre10.g465000"	0.0320697905124138
"Cre12.g522400"	"Cre16.g684150"	0.0320624504996133
"Cre16.g675700"	"Cre13.g583650"	0.031997920473374
"Cre08.g361400"	"Cre07.g350450"	0.0319515382564572
"Cre08.g383000"	"Cre10.g466700"	0.0319461799668462
"Cre08.g361400"	"Cre10.g456851"	0.0318218073208796
"Cre04.g228400"	"Cre16.g686641"	0.0317761849125847
"Cre08.g358534"	"Cre16.g668950"	0.0317091157356328
"Cre16.g675700"	"Cre06.g284600"	0.0317012623270439
"Cre03.g189850"	"Cre09.g401219"	0.0316976673903225
"Cre11.g467581"	"Cre14.g620050"	0.0315955580271758
"Cre03.g200431"	"Cre17.g727700"	0.0315543822455916
"Cre08.g361400"	"Cre05.g242178"	0.0315168662216022
"Cre05.g233551"	"Cre04.g211950"	0.0314947032190141
"Cre05.g238250"	"Cre03.g155501"	0.031453870618578
"Cre13.g581150"	"Cre12.g546770"	0.0313355914307681
"Cre02.g118250"	"Cre12.g498850"	0.0312990650252
"Cre03.g149350"	"Cre02.g144500"	0.0312787003257941
"Cre10.g441300"	"Cre12.g496550"	0.0312209278051186
"Cre12.g521150"	"Cre06.g299950"	0.0311878638528621
"Cre08.g361400"	"Cre14.g619300"	0.0311853790591658
"Cre12.g485950"	"Cre09.g403300"	0.0310636084883485
"Cre11.g467581"	"Cre01.g033832"	0.0310631176435708
"Cre01.g008200"	"Cre03.g204500"	0.0309705080406709
"Cre04.g228400"	"Cre12.g501400"	0.0309368265970038
"Cre03.g149400"	"Cre19.g750347"	0.0309074445819685
"Cre03.g197100"	"Cre08.g378351"	0.030837240581577
"Cre08.g361400"	"Cre10.g461750"	0.0308301749863647
"Cre06.g261450"	"Cre12.g513800"	0.0307960691986724
"Cre06.g261450"	"Cre16.g658350"	0.0307931425238241
"Cre14.g614750"	"Cre17.g747697"	0.0307621629612935
"Cre16.g671900"	"Cre02.g113350"	0.0307588332425202
"Cre06.g261450"	"Cre01.g033832"	0.0307542659842207
"Cre01.g051174"	"Cre16.g683000"	0.0307376780492115
"Cre03.g200431"	"Cre06.g278147"	0.030716879306265
"Cre16.g675700"	"Cre01.g001800"	0.0307147302232597
"Cre02.g101550"	"Cre12.g557650"	0.0307026211030708
